epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2444,2.30407,3.13577,2.0299,0.53052,0.25714,0.38052,0.28742,1.2474,2.53064,1.63935,0.000657407,0.000657407,0.000657407
2,48.1773,1.5045,2.12462,1.40699,0.93038,0.76379,0.86144,0.5732,1.22815,1.85412,1.16602,0.00119299,0.00119299,0.00119299
3,71.6947,1.13233,1.5402,1.11736,1,0.88193,0.93043,0.6465,1.20743,1.05162,1.04787,0.00159657,0.00159657,0.00159657
4,95.3559,0.97561,1.17627,0.99672,0.99132,0.91429,0.94115,0.71254,0.9257,0.96726,0.93333,0.001406,0.001406,0.001406
5,118.977,0.87392,1.08386,0.97169,0.96894,0.94286,0.94904,0.73738,0.84794,0.81987,0.85896,0.001208,0.001208,0.001208
6,142.204,0.79507,0.97156,0.92188,0.99748,0.94286,0.96129,0.74246,0.86295,0.82465,0.85756,0.00101,0.00101,0.00101
7,165.609,0.69615,0.84549,0.89848,1,0.93614,0.96045,0.78148,0.83315,0.70953,0.86574,0.000812,0.000812,0.000812
8,188.842,0.68807,0.81696,0.8926,0.99796,0.94286,0.96675,0.83735,0.61891,0.63602,0.79622,0.000614,0.000614,0.000614
9,212.035,0.65301,0.78053,0.90339,0.998,0.94286,0.96724,0.8453,0.57511,0.63038,0.7849,0.000416,0.000416,0.000416
10,235.415,0.66659,0.81816,0.88757,0.99671,0.94286,0.96765,0.84155,0.59566,0.65769,0.79294,0.000218,0.000218,0.000218
